회사명,종목명,시가총액,시가총액순위,상장주식수,액면가,매매단위,주총일,전자투표전자투표,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견,목표주가,52주최고,52주최저,PER(WISEfn),EPS(WISEfn),PER(KRX),EPS(KRX),추정PER,EPS,PBR(WISEfn),BPS(WISEfn),배당수익률,동일업종 PER,동일업종 등락률,업종PER비율
start,18/01/01_20:35:16
weekday,Monday
회사명,종목코드
BGF리테일,282330,"3조
										
											6,296",76,"17,283,906","1,000",1,-,N/A,"17,283,906","6,398,766",37.02%,4.00,"251,667","249,000","149,500",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.78,+0.97%,N/A
동양피스톤,092780,540,812,"13,168,460",500,1,2017.03.30,미도입,"13,168,460","162,745",1.24%,N/A,N/A,"5,300","4,125",4.42,928,4.42,928,N/A,N/A,0.67,"6,094",1.90,9.58,-0.21%,46.14%
진에어,272450,"7,950",216,"30,000,000","1,000",1,-,N/A,"14,997,000","2,260,130",15.07%,4.00,"39,000","29,600","25,600",18.19,"1,457",18.19,"1,457",11.00,"2,504",9.18,"2,886",1.89,-9.02,+0.67%,-201.66%
케이씨텍,281820,"4,226",305,"19,839,340",500,1,-,N/A,"19,839,340","2,808,873",14.16%,N/A,N/A,"29,350","20,150",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.53,+3.04%,N/A
동아타이어,282690,"1,394",562,"13,733,015",500,1,-,N/A,"13,733,015","618,631",4.50%,N/A,N/A,"15,900","9,690",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.58,-0.21%,N/A
삼양패키징,272550,"2,877",383,"14,209,804","5,000",1,-,N/A,"14,209,804","1,149,891",8.09%,N/A,N/A,"26,400","19,650",11.88,"1,704",11.88,"1,704",N/A,N/A,1.32,"15,343",N/A,16.36,+0.07%,72.62%
테이팩스,055490,"1,510",544,"4,717,650",500,1,-,미도입,"4,717,650","15,315",0.32%,N/A,N/A,"40,300","23,000",278.26,115,15.59,"2,053",N/A,N/A,1.92,"16,704",0.39,14.05,+2.07%,1980.50%
롯데제과,280360,"6,145",254,"4,209,102",500,1,-,N/A,"4,209,102","1,163,650",27.65%,3.50,"271,333","225,500","143,500",N/A,N/A,N/A,N/A,19.00,"7,494",N/A,N/A,N/A,16.14,+0.24%,N/A
제일약품,271980,"6,523",245,"10,504,493",500,1,-,N/A,"10,504,493","748,306",7.12%,N/A,N/A,"83,500","46,550",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.05,+0.91%,N/A
카카오,035720,"9조
										
											3,035",35,"67,908,527",500,1,2017.06.14,도입,"67,908,527","15,718,022",23.15%,3.68,"174,810","168,000","75,300",156.75,874,156.21,877,72.00,"1,914",2.70,"50,769",0.11,48.83,-1.08%,321.01%
오리온,271560,"4조
										
											1,312",68,"39,533,501",500,1,-,N/A,"39,533,501","15,698,887",39.71%,3.71,"136,071","129,500","75,700",N/A,N/A,N/A,N/A,20.00,"5,358",N/A,N/A,N/A,16.14,+0.24%,N/A
미원에스씨,268280,"3,025",377,"5,179,111",500,1,-,N/A,"5,179,111","92,835",1.79%,N/A,N/A,"106,500","47,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.05,+2.07%,N/A
경동도시가스,267290,"1,710",496,"4,717,063","2,500",1,-,N/A,"4,717,063","1,217,177",25.80%,N/A,N/A,"67,000","33,200",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-22.27,+1.04%,N/A
넷마블게임즈,251270,"16조
										
											275",21,"85,026,385",100,1,-,N/A,"85,026,385","23,069,186",27.13%,3.90,"221,190","200,000","123,500",69.33,"2,719",69.30,"2,720",39.00,"4,887",10.50,"17,946",N/A,53.31,-0.28%,130.05%
아이엔지생명,079440,"4조
										
											3,788",65,"82,000,000","1,000",1,-,N/A,"82,000,000","29,956,316",36.53%,3.88,"57,625","57,000","30,450",18.19,"2,936",18.19,"2,936",13.00,"4,232",1.06,"50,578",3.82,11.72,+0.79%,155.20%
현대건설기계,267270,"1조
										
											6,691",138,"9,876,295","5,000",1,-,N/A,"9,876,295","1,040,059",10.53%,4.00,"226,459","439,000","151,000",N/A,N/A,N/A,N/A,9.00,"18,020",N/A,N/A,N/A,-77.50,+0.40%,N/A
현대로보틱스,267250,"6조
										
											2,052",49,"16,286,617","5,000",1,-,N/A,"16,286,617","3,156,315",19.38%,3.83,"558,000","489,000","329,000",N/A,N/A,N/A,N/A,3.00,"146,529",N/A,N/A,N/A,30.11,+1.41%,N/A
현대일렉트릭,267260,"1조
										
											1,635",169,"10,205,783","5,000",1,-,N/A,"10,205,783","757,222",7.42%,3.90,"156,859","352,000","103,500",N/A,N/A,N/A,N/A,7.00,"15,405",N/A,N/A,N/A,28.66,+0.87%,N/A
크라운제과,264900,"1,760",484,"12,523,850",200,1,-,N/A,"12,523,850","152,086",1.21%,N/A,N/A,"29,600","13,650",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.14,+0.24%,N/A
덴티움,145720,"6,896",237,"11,068,830",500,1,2017.03.31,미도입,"11,068,830","1,236,000",11.17%,4.00,"85,075","76,300","32,550",34.84,"1,788",19.13,"3,256",22.00,"2,777",9.99,"6,234",0.16,34.13,+1.64%,102.08%
호전실업,111110,"1,048",655,"8,000,000",500,1,2017.03.31,미도입,"8,000,000","68,664",0.86%,N/A,N/A,"25,400","12,850",5.34,"2,455",4.89,"2,679",N/A,N/A,1.01,"12,961",0.12,18.19,+0.49%,29.36%
핸즈코퍼레이션,143210,"1,979",462,"21,863,268",500,1,2017.03.31,미도입,"21,863,268","211,531",0.97%,N/A,N/A,"11,650","7,530",4.30,"2,106",4.29,"2,108",N/A,N/A,0.65,"13,932",1.97,9.58,-0.21%,44.89%
두산밥캣,241560,"3조
										
											5,889",77,"100,249,166",500,1,2017.03.31,도입,"100,249,166","27,604,397",27.54%,4.00,"45,886","40,800","33,100",20.12,"1,779","17,900.00",2,18.00,"2,035",1.07,"33,435",1.96,-77.50,+0.40%,-25.96%
삼성바이오로직스,207940,"24조
										
											5,472",11,"66,165,000","2,500",1,2017.03.24,미도입,"66,165,000","5,616,569",8.49%,3.89,"427,778","414,000","149,500",-119.18,"-3,113",N/A,N/A,-275.00,"-1,347",6.01,"61,700",N/A,65.05,+0.91%,-183.21%
JW생명과학,234080,"3,333",355,"7,917,277","5,000",1,2017.03.17,도입,"7,917,277","454,411",5.74%,N/A,N/A,"45,350","26,200",21.98,"1,915",21.98,"1,915",N/A,N/A,3.69,"11,406",1.42,65.05,+0.91%,33.79%
화승엔터프라이즈,241590,"7,264",231,"30,268,335",500,1,2017.07.17,미도입,"30,268,335","2,329,391",7.70%,4.00,"29,833","27,300","13,300",15.48,"1,550",15.38,"1,560",14.00,"1,750",3.36,"7,140",0.15,18.19,+0.49%,85.10%
LS전선아시아,229640,"1,926",468,"30,624,879",500,1,2017.03.17,미도입,"30,624,879","805,912",2.63%,4.00,"8,745","7,300","5,420",14.43,436,14.43,436,13.00,493,1.57,"4,009",2.38,28.66,+0.87%,50.35%
모두투어리츠,204210,304,"7,826,815",2017.06.30,미도입,"4,725","3,800",exception
일동제약,249420,"4,593",292,"19,629,292","1,000",1,2017.03.24,미도입,"19,629,292","1,218,122",6.21%,4.00,"26,597","28,650","17,050",16.57,"1,412",40.00,585,23.00,"1,005",1.88,"12,434",1.06,65.05,+0.91%,25.47%
샘표식품,248170,"1,594",525,"4,568,286",500,1,2017.03.20,미도입,"4,568,286","38,532",0.84%,N/A,N/A,"43,750","29,750",27.72,"1,259",27.70,"1,260",N/A,N/A,1.54,"22,707",0.57,16.14,+0.24%,171.75%
두올,016740,"1,101",639,"18,235,986","2,500",1,2017.03.30,미도입,"18,235,986","479,527",2.63%,N/A,N/A,"6,420","4,410",8.13,743,7.39,817,N/A,N/A,0.88,"6,864",1.90,9.58,-0.21%,84.86%
동서,026960,"2조
										
											9,013",91,"99,700,000",500,1,2017.03.17,미도입,"99,700,000","10,490,738",10.52%,N/A,N/A,"33,650","24,650",24.37,"1,194",24.27,"1,199",N/A,N/A,2.46,"11,843",2.30,16.14,+0.24%,150.99%
한국자산신탁,123890,"6,910",236,"93,500,000",500,1,2017.03.24,미도입,"93,500,000","5,819,273",6.22%,N/A,N/A,"10,550","7,200",9.71,761,9.70,762,N/A,N/A,1.84,"4,027",2.24,11.47,+1.17%,84.66%
